PlanName,fy,ActLiabilities_GASB,InvestmentReturnAssumption_GASB,InvestmentReturn_1yr
"Alabama ERS",2001,8010123.000,0.08000,-0.06360
"Alabama ERS",2002,8493469.000,0.08000,-0.09290
"Alabama ERS",2003,9124279.000,0.08000,0.16480
"Alabama ERS",2004,9546478.000,0.08000,0.10060
"Alabama ERS",2005,10634976.000,0.08000,0.10980
"Alabama ERS",2006,11457564.000,0.08000,0.08370
"Alabama ERS",2007,12370342.000,0.08000,0.17920
"Alabama ERS",2008,13078687.000,0.08000,-0.15210
"Alabama ERS",2009,13756176.000,0.08000,-0.10030
"Alabama ERS",2010,14284119.000,0.08000,0.08470
"Alabama ERS",2011,14366796.000,0.08000,0.02210
"Alabama ERS",2012,13884995.000,0.08000,0.18010
"Alabama ERS",2013,14536600.000,0.08000,0.14600
"Alabama ERS",2014,15138294.000,0.08000,0.12020
"Alabama ERS",2015,15723720.000,0.08000,0.01050
"Alabama ERS",2016,16728009.000,0.07875,0.10220
"Alabama ERS",2017,17250836.000,0.07750,0.12860
"Alabama ERS",2018,17829736.000,0.07700,0.09290
"Alabama ERS",2019,18543542.000,0.07700,0.02780
"Alabama ERS",2020,19786472.000,0.07700,0.05830
"Alaska PERS",2001,5528026.000,0.08250,-0.05250
"Alaska PERS",2002,6133182.000,0.08250,-0.05480
"Alaska PERS",2003,6330541.000,0.08250,0.03670
"Alaska PERS",2004,6711507.000,0.08250,0.15080
"Alaska PERS",2005,7087191.000,0.08250,0.08950
"Alaska PERS",2006,8094043.000,0.08250,0.11740
"Alaska PERS",2007,8662324.000,0.08250,0.18880
"Alaska PERS",2008,9154282.000,0.08250,-0.03060
"Alaska PERS",2009,9702086.000,0.08250,-0.20490
"Alaska PERS",2010,10371672.000,0.08000,0.11390
"Alaska PERS",2011,10919047.000,0.08000,0.21220
"Alaska PERS",2012,11428944.000,0.08000,0.00460
"Alaska PERS",2013,11945881.000,0.08000,0.12500
"Alaska PERS",2014,12947759.000,0.08000,0.18560
"Alaska PERS",2015,13337929.000,0.08000,0.03290
"Alaska PERS",2016,13633033.000,0.08000,-0.00360
"Alaska PERS",2017,13832130.000,0.08000,0.13350
"Alaska PERS",2018,14606033.000,0.07380,0.09610
"Alaska PERS",2019,15039180.000,0.07380,0.06400
"Alaska PERS",2020,15279525.000,0.07380,0.03830
"Arizona SRS",2001,19041786.000,0.08000,-0.06700
"Arizona SRS",2002,21285172.000,0.08000,-0.08200
"Arizona SRS",2003,22934742.000,0.08000,0.02400
"Arizona SRS",2004,24506244.000,0.08000,0.17500
"Arizona SRS",2005,26486196.000,0.08000,0.08500
"Arizona SRS",2006,28192090.000,0.08000,0.09800
"Arizona SRS",2007,30390476.000,0.08000,0.17800
"Arizona SRS",2008,32424478.000,0.08000,-0.07600
"Arizona SRS",2009,34290116.000,0.08000,-0.18100
"Arizona SRS",2010,36072520.000,0.08000,0.14910
"Arizona SRS",2011,37051180.000,0.08000,0.24600
"Arizona SRS",2012,38450288.000,0.08000,0.01300
"Arizona SRS",2013,39911756.000,0.08000,0.13100
"Arizona SRS",2014,41349316.000,0.08000,0.18600
"Arizona SRS",2015,42968128.000,0.08000,0.03200
"Arizona SRS",2016,44535008.000,0.08000,0.00600
"Arizona SRS",2017,50618760.000,0.07500,0.13900
"Arizona SRS",2018,52546436.000,0.07500,0.09400
"Arizona SRS",2019,54564392.000,0.07500,0.06600
"Arizona SRS",2020,56710704.000,0.07500,0.00800
"Arkansas PERS",2001,4111000.000,0.08000,-0.03820
"Arkansas PERS",2002,4398000.000,0.08000,-0.05740
"Arkansas PERS",2003,4674000.000,0.08000,0.05530
"Arkansas PERS",2004,5005000.000,0.08000,0.13400
"Arkansas PERS",2005,5323000.000,0.08000,0.09850
"Arkansas PERS",2006,5936000.000,0.08000,0.12240
"Arkansas PERS",2007,6174000.000,0.08000,0.18010
"Arkansas PERS",2008,6543000.000,0.08000,-0.04450
"Arkansas PERS",2009,6938000.000,0.08000,-0.20890
"Arkansas PERS",2010,7304000.000,0.08000,0.11950
"Arkansas PERS",2011,7734000.000,0.08000,0.26000
"Arkansas PERS",2012,8163000.000,0.08000,-0.00330
"Arkansas PERS",2013,8284000.000,0.08000,0.15580
"Arkansas PERS",2014,8864000.000,0.07750,0.19680
"Arkansas PERS",2015,9295000.000,0.07500,0.02450
"Arkansas PERS",2016,9663000.000,0.07500,0.00300
"Arkansas PERS",2017,10510000.000,0.07150,0.12300
"Arkansas PERS",2018,10694000.000,0.07150,0.10230
"Arkansas PERS",2019,11129000.000,0.07150,0.05780
"Arkansas PERS",2020,11513000.000,0.07150,0.02410
"California PERF",2001,149155008.000,0.08250,-0.07200
"California PERF",2002,163960992.000,0.08250,-0.06100
"California PERF",2003,180922000.000,0.07750,0.03700
"California PERF",2004,194608992.000,0.07750,0.16600
"California PERF",2005,210300992.000,0.07750,0.12300
"California PERF",2006,228131008.000,0.07750,0.11800
"California PERF",2007,248224000.000,0.07750,0.19100
"California PERF",2008,268324000.000,0.07750,-0.05100
"California PERF",2009,294041984.000,0.07750,-0.24000
"California PERF",2010,308343008.000,0.07750,0.13300
"California PERF",2011,328567008.000,0.07500,0.21700
"California PERF",2012,340428992.000,0.07500,0.00100
"California PERF",2013,375019008.000,0.07500,0.13200
"California PERF",2014,394726016.000,0.07500,0.18400
"California PERF",2015,413700000.000,0.07500,0.02400
"California PERF",2016,436703008.000,0.07500,0.00600
"California PERF",2017,465046016.000,0.07500,0.11200
"California PERF",2018,504996000.000,0.07500,0.08600
"California PERF",2019,531166016.000,0.07380,0.06700
"California PERF",2020,531166016.000,0.07250,0.04700
"Colorado State",2001,,,-0.07700
"Colorado State",2002,,,-0.11790
"Colorado State",2003,,,0.24060
"Colorado State",2004,,,0.14100
"Colorado State",2005,17541744.000,0.08500,0.09800
"Colorado State",2006,18246010.000,0.08500,0.15700
"Colorado State",2007,19390296.000,0.08500,0.10000
"Colorado State",2008,20498668.000,0.08500,-0.26000
"Colorado State",2009,19977216.000,0.08000,0.17400
"Colorado State",2010,20356176.000,0.08000,0.14000
"Colorado State",2011,20826544.000,0.08000,0.01900
"Colorado State",2012,21191496.000,0.08000,0.12900
"Colorado State",2013,22843724.000,0.07500,0.15600
"Colorado State",2014,23408320.000,0.07500,0.05700
"Colorado State",2015,24085672.000,0.07500,0.01500
"Colorado State",2016,25669916.000,0.07250,0.07300
"Colorado State",2017,24782084.000,0.07250,0.18100
"Colorado State",2018,25509852.000,0.07250,-0.03500
"Colorado State",2019,25717648.000,0.07250,0.20300
"Colorado State",2020,27116806.000,0.07250,0.17400
"Connecticut SERS",2001,12105366.000,,-0.03680
"Connecticut SERS",2002,12806115.000,0.08500,-0.06390
"Connecticut SERS",2003,14223786.000,0.08500,0.02490
"Connecticut SERS",2004,15128502.000,0.08500,0.15230
"Connecticut SERS",2005,15987547.000,0.08500,0.10440
"Connecticut SERS",2006,16830348.000,0.08500,0.10550
"Connecticut SERS",2007,17888064.000,0.08500,0.17340
"Connecticut SERS",2008,19243372.000,0.08250,-0.04830
"Connecticut SERS",2009,20148784.000,0.08250,-0.18250
"Connecticut SERS",2010,21054196.000,0.08250,0.12930
"Connecticut SERS",2011,21126724.000,0.08250,0.21150
"Connecticut SERS",2012,23018752.000,0.08000,-0.00900
"Connecticut SERS",2013,23768192.000,0.08000,0.11900
"Connecticut SERS",2014,25505610.000,0.08000,0.15620
"Connecticut SERS",2015,26255512.000,0.08000,0.02840
