PlanName,fy,CostSharing,CostStructure,PlanType,SocSecCovered,StateAbbrev,ppd_id,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,PercentReqContPaid,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,ActCostMeth_GASB,FundingMeth_GASB,EQTotal_Actl,PETotal_Actl,HFTotal_Actl,COMDTotal_Actl,RETotal_Actl,AltMiscTotal_Actl,TotMembership,actives_tot,ActiveSalary_avg,beneficiaries_tot,BeneficiaryBenefit_avg,ActFundedRatio_GASB67
Alabama ERS,2001,0,"Multiple employer, agent plan",1,1,AL,1,8028471,8010123,1.002,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.4653,0,0,0,0,0,115040,80256,30.011,27064,13.974,
Alabama ERS,2002,0,"Multiple employer, agent plan",1,1,AL,1,8100846,8493469,0.954,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.4649,0,0,0,0,0,118858,81545,30.971,28415,14.484,
Alabama ERS,2003,0,"Multiple employer, agent plan",1,1,AL,1,8312500,9124279,0.911,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.5479,0,0,0,0,0,121563,82304,31.938,29874,15.222,
Alabama ERS,2004,0,"Multiple employer, agent plan",1,1,AL,1,8563945,9546478,0.897,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.5786,0,0,0,0,0,122194,81249,32.316,31438,15.839,
Alabama ERS,2005,0,"Multiple employer, agent plan",1,1,AL,1,8935358,10634976,0.84,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.5872,0,0,0,0,0,126055,82830,33.911,33266,16.217,
Alabama ERS,2006,0,"Multiple employer, agent plan",1,1,AL,1,9287531,11457564,0.811,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.6351,0,0,0,0,0,129396,84482,34.945,34498,17.853,
Alabama ERS,2007,0,"Multiple employer, agent plan",1,1,AL,1,9770897,12370342,0.79,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.6489,0,0,0,0,0,133346,86668,36.57,35852,18.14,
Alabama ERS,2008,0,"Multiple employer, agent plan",1,1,AL,1,9905766,13078687,0.757,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.6075,0,0,0,0,0,136530,88002,38.291,37129,18.585,
Alabama ERS,2009,0,"Multiple employer, agent plan",1,1,AL,1,9928104,13756176,0.722,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.5867,0,0,0,0,0,138175,87647,39.689,38784,18.941,
Alabama ERS,2010,0,"Multiple employer, agent plan",1,1,AL,1,9739331,14284119,0.682,1,0.045,0.08,Entry Age Normal,Level Percent Open,0.5864,0,0,0,0,0,138621,86967,39.842,40164,19.379,
Alabama ERS,2011,0,"Multiple employer, agent plan",1,1,AL,1,9456158,14366796,0.658,1,0.03,0.08,Entry Age Normal,Level Percent Open,0.56,0,0,0,0,0,137887,85633,39.444,41793,19.795,
Alabama ERS,2012,0,"Multiple employer, agent plan",1,1,AL,1,9116551,13884995,0.657,1,0.03,0.08,Entry Age Normal,Level Percent Open,0.591,0,0,0,0,0,137820,84169,37.125,43097,20.07,
Alabama ERS,2013,0,"Multiple employer, agent plan",1,1,AL,1,9546459,14536600,0.657,1,0.03,0.08,Entry Age Normal,Level Percent Closed,0.6381,0,0,0,0,0,137801,84035,39.359,44193,20.325,
Alabama ERS,2014,0,"Multiple employer, agent plan",1,1,AL,1,10134581,15138294,0.669,0,0.03,0.08,Entry Age Normal,Level Percent Closed,0.6506,0,0,0,0,0,138967,84694,39.993,45275,20.546,0.69584
Alabama ERS,2015,0,"Multiple employer, agent plan",1,1,AL,1,10589258,15723720,0.673,1,0.03,0.08,Entry Age Normal,Level Percent Closed,0.6322,0,0,0,0,0,140718,84563,40.93,46514,20.789,0.66108
Alabama ERS,2016,0,"Multiple employer, agent plan",1,1,AL,1,11082280,16728009,0.662,1,0.02875,0.07875,Entry Age Normal,Level Percent Closed,0.6439,0,0,0,0,0,143483,84814,42.126,47749,21.118,0.65901
Alabama ERS,2017,0,"Multiple employer, agent plan",1,1,AL,1,11690952,17250836,0.678,1,0.0275,0.0775,Entry Age Normal,Level Percent Closed,0.7072,0,0,0,0,0,146356,85657,41.849,48776,21.343,0.69707
